Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2014,T,1371.01,2.03,-1.78,0.25,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,AU,619,-0.02,-7,-7.02,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,N,1004,1.58,-3.56,-1.98,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,B,1063,1.66,-3.17,-1.51,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,S,1235,2.54,-3.26,-0.72,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,C,1295,2.89,-2.12,0.77,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,Y,1370,3.13,-1.56,1.57,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,T,1370.01,3.09,-2.22,0.87,09-May-2015,09-Sep-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,AU,615,-0.15,-7.91,-8.06,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,N,1003,1.99,-4.49,-2.49,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,B,1062,2.58,-4.22,-1.64,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,S,1234,4.17,-3.94,0.23,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,C,1294,4.63,-2.96,1.66,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,Y,1369,5.31,-2.47,2.84,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,T,1369.01,4.83,-2.95,1.88,09-May-2016,15-Oct-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,AU,613,-0.67,-5.91,-6.58,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,N,1003,1.15,-4.64,-3.5,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,B,1060,1.37,-2.98,-1.61,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,S,1236,2.31,-2.59,-0.28,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,C,1294,2.16,-1.84,0.32,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
