Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2016,A,825,0.86,-5.4,-4.53,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,TSL_867,867,1.45,-5.72,-4.28,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,B,945,1.91,-4.69,-2.79,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,C,1066,2.55,-3.96,-1.41,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,H,1132,3.08,-3.92,-0.84,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,D,1176,2.85,-3.6,-0.75,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,G,1187,3.27,-4.57,-1.3,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,F,1228,3.04,-4.16,-1.12,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,E,1238,3.82,-3.83,-0.01,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,A,821,1.13,-5.4,-4.27,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,TSL_835,835,1.3,-5.23,-3.94,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,B,942,1.99,-4.85,-2.86,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,TSL_1017,1017,2.49,-4.25,-1.76,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,TSL_1023,1023,2.77,-4.17,-1.4,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,C,1063,2.55,-3.7,-1.16,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,TSL_1108,1108,2.91,-3.74,-0.83,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,H,1130,2.84,-3.26,-0.42,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,D,1173,2.73,-3.45,-0.72,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,G,1184,2.94,-3.74,-0.8,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,F,1228,1.99,-3.77,-1.78,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,E,1235,3.98,-3.53,0.45,08-Apr-2017,07-Oct-2017,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,A,818,1.03,-6.35,-5.33,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,B,938,1.62,-5.32,-3.7,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,C,1061,2.2,-4.19,-1.99,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,H,1127,2.27,-4.01,-1.74,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,D,1169,2.26,-3.76,-1.51,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,G,1181,2.13,-3.87,-1.74,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,F,1226,1.9,-3.88,-1.98,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,E,1233,3.23,-3.71,-0.47,03-May-2018,25-Oct-2018,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,A,818,0.62,-6.19,-5.57,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,B,938,1.33,-5.86,-4.53,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,C,1061,2.24,-4.82,-2.58,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,D,1169,2.37,-4.25,-1.88,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,F,1226,1.92,-4.77,-2.85,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,E,1233,3.02,-4.78,-1.76,07-May-2019,05-Oct-2019,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,A,818,2.31,-5.25,-2.95,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,B,938,3.17,-5.29,-2.12,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,C,1061,3.64,-4.38,-0.74,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,H,1127,3.98,-4.03,-0.05,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,D,1169,3.76,-3.74,0.02,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,F,1226,3.62,-4.16,-0.54,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,E,1233,5.23,-4.51,0.72,30-Apr-2020,16-Oct-2020,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,A,818,2.06,-4.96,-2.9,04-May-2021,01-Oct-2021,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,B,938,2.59,-4.28,-1.69,04-May-2021,01-Oct-2021,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,C,1061,3.43,-3.58,-0.14,04-May-2021,01-Oct-2021,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,D,1169,3.65,-3.05,0.6,04-May-2021,01-Oct-2021,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,F,1226,3.31,-3.51,-0.2,04-May-2021,01-Oct-2021,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
