Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
2000,C161,3/1/2000,7/31/2000,1488,NaN,3.37,NaN,0
2000,MG1,3/1/2000,8/3/2000,1410,NaN,2.34,NaN,0
2000,MG6,3/1/2000,8/11/2000,1869,NaN,3.51,NaN,0
2001,TKG5,3/1/2001,7/27/2001,1010,NaN,1.62,NaN,0
2001,TKG4,3/1/2001,7/19/2001,1119,NaN,1.89,NaN,0
2001,TKG6,3/1/2001,7/29/2001,1219,NaN,1.95,NaN,0
2001,DG1,3/1/2001,7/21/2001,1020,NaN,1.71,NaN,0
2001,C161,3/1/2001,7/23/2001,1483,NaN,2.73,NaN,0
2002,TKG6,3/1/2002,7/21/2002,1235,NaN,1.16,NaN,0
2002,TKG4,3/1/2002,7/20/2002,1117,NaN,1.19,NaN,0
2002,TKG5,3/1/2002,7/24/2002,1011,NaN,0.90,NaN,0
2002,DG1,3/1/2002,7/25/2002,1020,NaN,0.92,NaN,0
2002,C161,3/1/2002,7/25/2002,1484,NaN,2.05,NaN,0
2002,MG1,3/1/2002,7/29/2002,1417,NaN,0.96,NaN,0
2002,MG2,3/1/2002,8/10/2002,1788,NaN,2.34,NaN,0
2002,MG6,3/1/2002,8/11/2002,1828,NaN,2.31,NaN,0
2003,TKG5,3/1/2003,7/20/2003,998,NaN,0.26,NaN,0
2003,TKG3,3/1/2003,7/21/2003,1204,NaN,0.60,NaN,0
2003,TKG4,3/1/2003,7/19/2003,1116,NaN,0.29,NaN,0
2003,TKG6,3/1/2003,7/26/2003,1124,NaN,0.45,NaN,0
2003,TKG1,3/1/2003,7/22/2003,1146,NaN,0.30,NaN,0
2003,TKG2,3/1/2003,7/23/2003,1267,NaN,0.65,NaN,0
2003,TKG8,3/1/2003,7/24/2003,1283,NaN,0.39,NaN,0
2003,DG1,3/1/2003,7/20/2003,1016,NaN,0.19,NaN,0
2003,C161,3/1/2003,7/29/2003,1488,NaN,1.07,NaN,0
2003,MG1,3/1/2003,7/31/2003,1352,NaN,0.47,NaN,0
2003,MG2,3/1/2003,8/6/2003,1768,NaN,1.95,NaN,0
2003,MG6,3/1/2003,8/7/2003,1871,NaN,1.51,NaN,0
2004,TKG5,3/1/2004,7/22/2004,998,NaN,0.90,NaN,0
2004,TKG3,3/1/2004,7/22/2004,1206,NaN,1.39,NaN,0
2004,TKG4,3/1/2004,7/20/2004,1116,NaN,1.17,NaN,0
2004,TKG6,3/1/2004,7/25/2004,1219,NaN,1.22,NaN,0
2004,TKG1,3/1/2004,7/20/2004,1149,NaN,1.08,NaN,0
2004,TKG2,3/1/2004,7/25/2004,1182,NaN,1.39,NaN,0
2004,TKG7,3/1/2004,7/27/2004,1341,NaN,1.51,NaN,0
2004,TKG8,3/1/2004,7/31/2004,1283,NaN,0.85,NaN,0
2004,DG1,3/1/2004,7/22/2004,1016,NaN,0.68,NaN,0
2004,DG2,3/1/2004,8/4/2004,1184,NaN,0.75,NaN,0
2004,DG3,3/1/2004,8/4/2004,1329,NaN,1.50,NaN,0
2004,SWB1,3/1/2004,7/20/2004,1228,NaN,1.88,NaN,0
2004,SWB2,3/1/2004,7/21/2004,1105,NaN,1.34,NaN,0
2004,NWB1,3/1/2004,7/26/2004,1502,NaN,2.46,NaN,0
2004,C161,3/1/2004,7/26/2004,1488,NaN,2.03,NaN,0
2004,MG1,3/1/2004,8/3/2004,1412,NaN,0.87,NaN,0
2004,MG2,3/1/2004,8/8/2004,1761,NaN,2.17,NaN,0
2005,TKG5,3/1/2005,7/25/2005,998,NaN,0.94,NaN,0
2005,TKG3,3/1/2005,7/24/2005,1112,NaN,1.68,NaN,0
2005,TKG4,3/1/2005,7/23/2005,1116,NaN,1.46,NaN,0
2005,TKG7,3/1/2005,8/2/2005,1341,NaN,1.61,NaN,0
2005,MG7,3/1/2005,8/4/2005,1357,NaN,1.26,NaN,0
2005,DG1,3/1/2005,7/25/2005,1016,NaN,0.97,NaN,0
2005,DG3,3/1/2005,8/10/2005,1354,NaN,1.73,NaN,0
2005,SWB2,3/1/2005,7/30/2005,1105,NaN,1.64,NaN,0
2005,NWB3,3/1/2005,8/2/2005,1410,NaN,1.55,NaN,0
2005,C161,3/1/2005,8/2/2005,1488,NaN,2.51,NaN,0
2005,MG2,3/1/2005,8/9/2005,1762,NaN,3.00,NaN,0
2005,MG4,3/1/2005,8/5/2005,1531,NaN,1.92,NaN,0
2006,TKG5,3/1/2006,7/25/2006,998,NaN,1.01,NaN,0
2006,TKG3,3/1/2006,7/22/2006,1112,NaN,1.88,NaN,0
2006,TKG4,3/1/2006,7/26/2006,1116,NaN,1.53,NaN,0
2006,TKG6,3/1/2006,7/27/2006,1233,NaN,1.68,NaN,0
2006,TKG2,3/1/2006,7/24/2006,1277,NaN,1.90,NaN,0
2006,DG1,3/1/2006,7/25/2006,1016,NaN,0.96,NaN,0
2006,SWB2,3/1/2006,7/30/2006,1105,NaN,1.62,NaN,0
2006,C161,3/1/2006,8/2/2006,1488,NaN,2.22,NaN,0
2006,MG2,3/1/2006,8/9/2006,1762,NaN,3.07,NaN,0
2007,TKG5,3/1/2007,7/20/2007,993,NaN,1.42,NaN,0
2007,TKG3,3/1/2007,7/22/2007,1204,NaN,1.80,NaN,0
2007,TKG4,3/1/2007,7/19/2007,1117,NaN,1.89,NaN,0
2007,TKG6,3/1/2007,7/23/2007,1227,NaN,1.75,NaN,0
2007,TKG7,3/1/2007,7/23/2007,1338,NaN,1.75,NaN,0
2007,TKG8,3/1/2007,7/23/2007,1283,NaN,1.40,NaN,0
2007,DG1,3/1/2007,7/20/2007,1016,NaN,1.25,NaN,0
2007,DG3,3/1/2007,8/3/2007,1357,NaN,1.87,NaN,0
2007,SWB2,3/1/2007,7/26/2007,1108,NaN,1.60,NaN,0
2007,NWB1,3/1/2007,7/29/2007,1505,NaN,2.11,NaN,0
2007,C161,3/1/2007,7/28/2007,1481,NaN,2.23,NaN,0
2007,MG1,3/1/2007,8/6/2007,1451,NaN,1.31,NaN,0
2007,MG2,3/1/2007,8/8/2007,1755,NaN,2.85,NaN,0
2008,TKG5,3/1/2008,7/16/2008,998,NaN,1.77,NaN,0
2008,TKG4,3/1/2008,7/14/2008,1116,NaN,1.97,NaN,0
2008,TKG6,3/1/2008,7/16/2008,1124,NaN,1.95,NaN,0
2008,TKG1,3/1/2008,7/20/2008,1149,NaN,2.02,NaN,0
2008,TKG7,3/1/2008,7/30/2008,1341,NaN,2.25,NaN,0
2008,DG1,3/1/2008,7/25/2008,1016,NaN,1.49,NaN,0
2008,DG3,3/1/2008,8/4/2008,1329,NaN,2.16,NaN,0
2008,MG1,3/1/2008,8/3/2008,1352,NaN,1.64,NaN,0
2008,MG2,3/1/2008,8/7/2008,1768,NaN,2.83,NaN,0
2008,LLG5,3/1/2008,8/12/2008,1871,NaN,3.13,NaN,0
2009,TKG5,3/1/2009,7/17/2009,998,NaN,1.31,NaN,0
2009,TKG4,3/1/2009,7/14/2009,1116,NaN,1.65,NaN,0
2009,TKG6,3/1/2009,7/16/2009,1124,NaN,1.67,NaN,0
2009,TKG7,3/1/2009,7/19/2009,1341,NaN,1.75,NaN,0
2009,DG1,3/1/2009,7/21/2009,1016,NaN,1.15,NaN,0
2009,DG3,3/1/2009,7/27/2009,1329,NaN,2.05,NaN,0
2009,C161,3/1/2009,7/29/2009,1488,NaN,1.93,NaN,0
2009,MG1,3/1/2009,7/18/2009,1352,NaN,1.43,NaN,0
2009,MG2,3/1/2009,8/9/2009,1768,NaN,2.24,NaN,0
2009,LLG5,3/1/2009,8/4/2009,1871,NaN,2.04,NaN,0
2010,TKG5,3/1/2010,7/19/2010,998,NaN,1.15,NaN,0
2010,TKG4,3/1/2010,7/17/2010,1116,NaN,1.61,NaN,0
2010,TKG6,3/1/2010,7/24/2010,1124,NaN,1.58,NaN,0
2010,TKG7,3/1/2010,7/25/2010,1341,NaN,1.72,NaN,0
2010,DG1,3/1/2010,7/20/2010,1016,NaN,1.20,NaN,0
2010,DG3,3/1/2010,7/30/2010,1329,NaN,1.76,NaN,0
2010,SWB2,3/1/2010,7/22/2010,1105,NaN,1.51,NaN,0
2010,NWB1,3/1/2010,7/26/2010,1502,NaN,2.08,NaN,0
2010,C161,3/1/2010,7/26/2010,1488,NaN,2.17,NaN,0
2010,MG1,3/1/2010,7/29/2010,1352,NaN,1.37,NaN,0
2010,MG2,3/1/2010,8/3/2010,1768,NaN,2.56,NaN,0
2010,LLG5,3/1/2010,8/4/2010,1871,NaN,2.69,NaN,0
2011,TKG5,3/1/2011,7/12/2011,998,NaN,1.00,NaN,0
2011,TKG3,3/1/2011,7/13/2011,1106,NaN,1.22,NaN,0
2011,TKG4,3/1/2011,7/11/2011,1116,NaN,1.27,NaN,0
2011,TKG7,3/1/2011,7/18/2011,1341,NaN,1.26,NaN,0
2011,TKG8,3/1/2011,7/22/2011,1283,NaN,1.23,NaN,0
2011,DG1,3/1/2011,7/13/2011,1016,NaN,0.88,NaN,0
2011,DG3,3/1/2011,7/25/2011,1329,NaN,1.41,NaN,0
2011,SWB2,3/1/2011,7/15/2011,1105,NaN,1.30,NaN,0
2011,NWB1,3/1/2011,7/19/2011,1502,NaN,1.93,NaN,0
2011,C161,3/1/2011,7/19/2011,1488,NaN,2.10,NaN,0
2011,MG1,3/1/2011,7/24/2011,1352,NaN,1.14,NaN,0
2011,MG2,3/1/2011,7/29/2011,1768,NaN,2.05,NaN,0
2011,LLG5,3/1/2011,7/30/2011,1871,NaN,2.22,NaN,0
2012,TKG5,3/1/2012,7/13/2012,998,NaN,2.66,NaN,0
2012,TKG3,3/1/2012,7/16/2012,1204,NaN,2.69,NaN,0
2012,TKG4,3/1/2012,7/12/2012,1116,NaN,2.66,NaN,0
2012,TKG7,3/1/2012,7/21/2012,1341,NaN,2.65,NaN,0
2012,DG1,3/1/2012,7/14/2012,1016,NaN,2.24,NaN,0
2012,DG3,3/1/2012,7/27/2012,1329,NaN,2.82,NaN,0
2012,SWB1,3/1/2012,7/19/2012,1227,NaN,3.28,NaN,0
2012,SWB2,3/1/2012,7/18/2012,1105,NaN,2.74,NaN,0
2012,NWB1,3/1/2012,7/22/2012,1502,NaN,3.44,NaN,0
2012,C161,3/1/2012,7/23/2012,1488,NaN,3.64,NaN,0
2012,MG1,3/1/2012,7/26/2012,1352,NaN,2.30,NaN,0
2012,MG2,3/1/2012,8/1/2012,1768,NaN,4.03,NaN,0
2012,LLG5,3/1/2012,8/5/2012,1871,NaN,3.81,NaN,0
2013,TKG5,3/1/2013,7/18/2013,998,NaN,0.94,NaN,0
2013,TKG2,3/1/2013,7/25/2013,1182,NaN,1.16,NaN,0
2013,TKG4,4/6/2013,7/17/2013,1116,1.98,1.24,NaN,0
2013,TKG1,3/1/2013,7/15/2013,1016,NaN,1.32,NaN,0
2013,TKG3,3/1/2013,7/16/2013,1106,NaN,1.27,NaN,0
2013,TKG7,3/1/2013,7/22/2013,1341,NaN,1.27,NaN,0
2013,DG1,3/1/2013,7/14/2013,1016,NaN,0.98,NaN,0
2013,DG3,3/1/2013,7/27/2013,1329,NaN,1.51,NaN,0
2013,SWB2,3/1/2013,7/20/2013,1105,NaN,1.37,NaN,0
2013,NWB1,3/1/2013,7/24/2013,1502,NaN,1.89,NaN,0
2013,C161,3/1/2013,7/24/2013,1488,NaN,1.99,NaN,0
2013,MG1,3/1/2013,7/26/2013,1352,NaN,1.24,NaN,0
2013,MG2,3/1/2013,7/31/2013,1768,NaN,2.60,NaN,0
2013,LLG5,3/1/2013,7/30/2013,1871,NaN,2.18,NaN,0
2014,TKGAC4,5/6/2014,NaN,235,0.73,NaN,NaN,0
2014,TKGAC3,5/1/2014,9/17/2014,768,1.93,NaN,NaN,0
2014,TKGAC1,5/1/2014,9/17/2014,800,1.85,NaN,NaN,0
