Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2016,G,2479,2.36,-2.37,-0.01,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,D,2549,3.46,-2.21,1.25,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,Z,2582,4.39,-1.89,2.51,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,B,2317,3.59,-4.7,-1.12,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,F,2351,3.21,-4.57,-1.35,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,A,2381,3.02,-4.94,-1.93,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,E,2454,2.81,-5.07,-2.26,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,C,2457,3.7,-4.57,-0.87,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,G,2479,4.1,-4.16,-0.06,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,Z,2585,5.58,-3.77,1.81,01-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,B,2317,3.54,-4.63,-1.08,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
